 id_item | id_material_extra |                                               descripcion                                               |                  categoria                  |             presentacion              |       unidad       | permite_decimales | cantidad_disponible |          marca           | estado_calidad |  ubicacion  | precioxunidad |                          uso_principal                          |      ultima_modificacion      | stock_minimo
---------+-------------------+---------------------------------------------------------------------------------------------------------+---------------------------------------------+---------------------------------------+--------------------+-------------------+---------------------+--------------------------+----------------+-------------+---------------+-----------------------------------------------------------------+-------------------------------+--------------
       6 | MCO-CAB-12T       | Cable de acero 1/2" torcido                                                                             | Cables de acero                             | 1/2" torcido                          | Mts                | t                 |                   1 | S/M                      | Bueno          |             |               | Instalaciones especiales, mejor flexi≤n y adaptabilidad         | 2025-06-18 15:23:05.241333-06 |         0.00
       7 | MCO-CAB-14        | Cable de acero 1/4"                                                                                     | Cables de acero                             | 1/4"                                  | Mts                | t                 |                   1 | S/M                      | Bueno          |             |               | Amarres, soporte ligero, estructuras intermedias                | 2025-06-18 15:23:05.241333-06 |         0.00
       8 | MCO-CAB-38        | Cable de acero 3/8"                                                                                     | Cables de acero                             | 3/8"                                  | Mts                | t                 |                   1 | S/M                      | Bueno          |             |               | Refuerzo de redes pesadas, postes y estructuras laterales       | 2025-06-18 15:23:05.241333-06 |         0.00
       9 | MCO-CAB-318       | Cable de acero 3/18"                                                                                    | Cables de acero                             | 3/18"                                 | Mts                | t                 |                   1 | S/M                      | Bueno          |             |               | Aplicaciones especiales (verificar uso con tΘcnico responsable) | 2025-06-18 15:23:05.241333-06 |         0.00
      10 | MCO-CAB-AMAR      | Cable de acero para amarres                                                                             | Cables de acero                             | S/D                                   | Mts                | t                 |                   1 | S/M                      | Bueno          |             |               | Amarre puntual, usos rßpidos en campo, sujeci≤n adicional       | 2025-06-18 15:23:05.241333-06 |         0.00
      11 | MCC 007           | Cabo Marino de Nylon #8                                                                                 | Cables marinos y cabos marinos              | Rollo de 100 mts / Rollo de 20 mts    | Mts lineal         | t                 |                   1 | S/M                      | Bueno          |             |               | Amarres estructurales, montajes en redes o postes               | 2025-06-18 15:23:05.241333-06 |         0.00
      12 | MCC 008           | Cabo Marino de Nylon #12                                                                                | Cables marinos y cabos marinos              | Rollo de 150 mts                      | Mts lineal         | t                 |                   1 | S/M                      | Bueno          |             |               | Amarres de refuerzo en redes deportivas                         | 2025-06-18 15:23:05.241333-06 |         0.00
      13 | MCC 009           | Cable Marino de 12 mm (negro)                                                                           | Cables marinos y cabos marinos              | Bobina de 250 mts / Bobina de 120 mts | Mts lineal         | t                 |                   1 | S/M                      | Bueno          |             |               | Instalaci≤n estructural, redes de seguridad, refuerzos          | 2025-06-18 15:23:05.241333-06 |         0.00
      15 | MCO-CIN-NYL12     | Cincho de nylon negro 12" (30 cm)                                                                       | Cinchos de nylon y cinchos hechos con piola | 3.6 mm x 12" (30 cms)                 | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Amarre general, sujeci≤n media                                  | 2025-06-18 15:23:05.241333-06 |         0.00
      16 | MCO-CIN-NYL11     | Cincho de nylon negro 11 cm                                                                             | Cinchos de nylon y cinchos hechos con piola | 11 cms                                | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Amarre ligero, sujeci≤n rßpida                                  | 2025-06-18 15:23:05.241333-06 |         0.00
      17 | MCO-CIN-NYL20N    | Cincho de nylon negro 20 cm                                                                             | Cinchos de nylon y cinchos hechos con piola | 20 cms                                | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Amarre mßs largo, estructuras peque±as                          | 2025-06-18 15:23:05.241333-06 |         0.00
      18 | MCO-CIN-NYL20B    | Cincho de plßstico blanco 20 cm                                                                         | Cinchos de nylon y cinchos hechos con piola | 20 cms                                | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Uso tΘcnico en interiores, visibilidad alta                     | 2025-06-18 15:23:05.241333-06 |         0.00
      19 | MCO-CIN-P18       | Cinchos hechos con piola calibre 18                                                                     | Cinchos de nylon y cinchos hechos con piola | Variados (13 cms a 2.19 mts)          | Pza (hecho a mano) | t                 |                   1 | S/M                      | Bueno          |             |               | Amarre r·stico o personalizado                                  | 2025-06-18 15:23:05.241333-06 |         0.00
      20 | MCO-CIN-P120      | Cinchos hechos con piola calibre 120                                                                    | Cinchos de nylon y cinchos hechos con piola | 1.30 mts y 2 mts                      | Pza (hecho a mano) | t                 |                   1 | S/M                      | Bueno          |             |               | Sujeci≤n fuerte o estructuras semipermanentes                   | 2025-06-18 15:23:05.241333-06 |         0.00
